epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,933.117,1.23794,3.14606,1.3525,0.00897,0.69882,0.25146,0.1727,1.03328,3.63962,1.27641,0.00032381,0.00032381,0.00032381
2,2221.46,1.21424,2.16459,1.31047,0.69383,0.1724,0.31573,0.20662,1.35779,3.40197,1.65931,0.000635457,0.000635457,0.000635457
3,3518.09,1.1935,1.90552,1.30587,0.26348,0.28134,0.26935,0.15834,1.31287,3.04046,1.51877,0.000925105,0.000925105,0.000925105
4,4807.07,1.24163,1.91767,1.32494,0.68176,0.23646,0.31302,0.18893,1.32402,2.36334,1.56456,0.000901,0.000901,0.000901
5,6093.82,1.19444,1.69514,1.29558,0.39072,0.41853,0.37452,0.23309,1.30211,2.29161,1.57042,0.000868,0.000868,0.000868
6,7392.63,1.20964,1.66407,1.28754,0.69652,0.38494,0.44612,0.3025,1.24402,2.00259,1.46823,0.000835,0.000835,0.000835
7,8695.76,1.18063,1.57175,1.28947,0.43169,0.43486,0.43862,0.29811,1.17142,2.11324,1.42682,0.000802,0.000802,0.000802
8,9984.8,1.14539,1.48141,1.25651,0.63896,0.49825,0.5316,0.34704,1.08107,1.7985,1.33922,0.000769,0.000769,0.000769
9,11266.4,1.102,1.38469,1.2283,0.61448,0.52371,0.52504,0.31108,1.15423,1.67426,1.38308,0.000736,0.000736,0.000736
10,12554.4,1.0771,1.3349,1.22834,0.53377,0.44422,0.48365,0.34772,1.04607,1.59897,1.29107,0.000703,0.000703,0.000703
11,13841,1.05912,1.26456,1.20844,0.66192,0.45585,0.48156,0.31236,1.10896,1.55041,1.37006,0.00067,0.00067,0.00067
12,15149,1.03427,1.19202,1.19194,0.76986,0.42122,0.52087,0.38804,1.07229,1.35114,1.29445,0.000637,0.000637,0.000637
13,16437.9,1.01841,1.15364,1.18529,0.6504,0.48681,0.53341,0.38784,1.03424,1.41652,1.2936,0.000604,0.000604,0.000604
14,17726.8,1.01729,1.10413,1.16477,0.7584,0.52814,0.57173,0.43348,0.97196,1.30526,1.21509,0.000571,0.000571,0.000571
15,19010.9,1.0083,1.10998,1.16243,0.71858,0.51798,0.56681,0.40048,1.01274,1.28516,1.22873,0.000538,0.000538,0.000538
16,20296.5,0.98712,1.04012,1.16063,0.81788,0.51182,0.60329,0.44805,0.98191,1.17319,1.21389,0.000505,0.000505,0.000505
17,21576.7,0.95743,0.98334,1.11966,0.69535,0.52811,0.56928,0.42678,0.97865,1.26676,1.23245,0.000472,0.000472,0.000472
18,22866.1,0.93944,0.95642,1.12231,0.62361,0.47141,0.56757,0.43324,0.95226,1.17087,1.20223,0.000439,0.000439,0.000439
19,24156.7,0.9349,0.95797,1.12124,0.77833,0.48334,0.57809,0.43641,0.93418,1.10655,1.18688,0.000406,0.000406,0.000406
20,25433.6,0.90285,0.8984,1.10096,0.57766,0.50156,0.55511,0.43058,0.92242,1.19323,1.15736,0.000373,0.000373,0.000373
21,26703.7,0.8776,0.85253,1.08011,0.85188,0.55141,0.64652,0.48849,0.9544,1.13446,1.20239,0.00034,0.00034,0.00034
22,27975.2,0.84238,0.80413,1.06034,0.80874,0.57769,0.62622,0.48622,0.88302,1.03368,1.15653,0.000307,0.000307,0.000307
23,29243.3,0.84452,0.76292,1.04959,0.74295,0.5861,0.63466,0.49776,0.92395,0.99361,1.14819,0.000274,0.000274,0.000274
24,30517,0.79358,0.70154,1.03384,0.79432,0.61388,0.66563,0.50784,0.91534,0.98164,1.15269,0.000241,0.000241,0.000241
25,31799.1,0.80744,0.69118,1.03208,0.73206,0.61116,0.64625,0.50313,0.88825,0.98427,1.15397,0.000208,0.000208,0.000208
26,33109.8,0.77404,0.65243,1.01872,0.81332,0.58434,0.63255,0.50376,0.84371,0.96451,1.10691,0.000175,0.000175,0.000175
27,34333.5,0.7686,0.63246,1.00511,0.8084,0.61327,0.66349,0.51696,0.85866,0.92104,1.11577,0.000142,0.000142,0.000142
28,35556.8,0.73785,0.6046,0.99073,0.72699,0.63687,0.67235,0.52283,0.86471,0.91019,1.12769,0.000109,0.000109,0.000109
29,36777.9,0.73302,0.6072,0.99885,0.79695,0.60121,0.67296,0.52433,0.83081,0.87734,1.11449,7.6e-05,7.6e-05,7.6e-05
30,37965.9,0.7242,0.58859,0.9826,0.78034,0.60477,0.65394,0.51372,0.82443,0.88675,1.105,4.3e-05,4.3e-05,4.3e-05
