epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.463,1.2796,3.77119,1.48761,0.01286,0.53799,0.18681,0.11587,0.85917,4.06496,1.38418,0.000232333,0.000232333,0.000232333
2,823.147,1.25862,3.06722,1.48368,0.79867,0.18454,0.24854,0.15834,1.12797,3.25088,1.55701,0.000447052,0.000447052,0.000447052
3,1236.18,1.24647,2.64819,1.4742,0.43468,0.40357,0.3538,0.1929,1.3693,3.06352,1.81976,0.000638208,0.000638208,0.000638208
4,1635.44,1.27325,2.50941,1.51013,0.59407,0.44662,0.5141,0.30179,1.40479,3.1529,1.90076,0.000607971,0.000607971,0.000607971
5,2035.09,1.28554,2.29684,1.48428,0.55074,0.49325,0.51624,0.30206,1.18045,2.8792,1.63272,0.000572628,0.000572628,0.000572628
6,2433.14,1.28619,2.18456,1.47124,0.37457,0.65076,0.48316,0.29967,1.2349,3.11295,1.64718,0.000537285,0.000537285,0.000537285
7,2830.45,1.17959,2.02789,1.41776,0.43268,0.59859,0.59628,0.37157,1.20536,2.62387,1.60435,0.000501942,0.000501942,0.000501942
8,3228.24,1.19498,1.93964,1.40552,0.47053,0.58459,0.50977,0.32901,1.14314,2.9254,1.58198,0.000466599,0.000466599,0.000466599
9,3634.61,1.18638,1.81839,1.39151,0.42031,0.60234,0.5338,0.34012,1.17409,2.73091,1.58363,0.000431256,0.000431256,0.000431256
10,4034.95,1.11793,1.78328,1.37719,0.55877,0.6066,0.58967,0.35061,1.21609,2.67175,1.57209,0.000395913,0.000395913,0.000395913
11,4427.01,1.13591,2.07182,1.41253,0.45715,0.60238,0.60027,0.3448,1.22404,2.70791,1.72926,0.00036057,0.00036057,0.00036057
12,4818.23,1.10706,1.90907,1.39188,0.43348,0.62748,0.52547,0.30499,1.24564,2.73666,1.70696,0.000325227,0.000325227,0.000325227
13,5211.2,1.04862,1.73534,1.34342,0.62512,0.53384,0.6108,0.36544,1.20484,2.37234,1.61157,0.000289884,0.000289884,0.000289884
14,5603.9,1.0165,1.68525,1.32648,0.44792,0.5215,0.5453,0.35862,1.18618,2.2924,1.59275,0.000254541,0.000254541,0.000254541
15,5995.65,0.98009,1.61944,1.28003,0.45971,0.59536,0.5888,0.38213,1.16464,2.20368,1.59858,0.000219198,0.000219198,0.000219198
16,6387.72,0.9413,1.56746,1.25415,0.5878,0.62611,0.64515,0.40984,1.11892,2.26682,1.53316,0.000183855,0.000183855,0.000183855
17,6778.86,0.93164,1.53662,1.26118,0.54822,0.58857,0.62426,0.40518,1.1569,2.21856,1.57143,0.000148512,0.000148512,0.000148512
18,7171.46,0.91511,1.46194,1.23571,0.62324,0.54229,0.64099,0.42035,1.17627,2.21744,1.56954,0.000113169,0.000113169,0.000113169
19,7563.65,0.90877,1.47254,1.2354,0.49157,0.61594,0.62802,0.42108,1.14165,2.11079,1.53578,7.7826e-05,7.7826e-05,7.7826e-05
20,7955.21,0.88364,1.41928,1.21545,0.56473,0.60801,0.62458,0.42437,1.12796,2.10838,1.50975,4.2483e-05,4.2483e-05,4.2483e-05
