epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1298.25,1.2317,3.03229,1.35161,0.75187,0.2464,0.32731,0.20276,1.13314,3.3028,1.45399,0.000327044,0.000327044,0.000327044
2,2556.48,1.21204,2.16165,1.30801,0.51174,0.30874,0.34432,0.23318,1.19035,2.83169,1.45505,0.000616792,0.000616792,0.000616792
3,3813.17,1.22329,2.006,1.31869,0.4898,0.32276,0.29226,0.20718,1.26079,2.52918,1.50394,0.000862541,0.000862541,0.000862541
4,5070.43,1.23981,1.89392,1.32355,0.60919,0.38943,0.37275,0.22539,1.2377,2.89833,1.56701,0.000802,0.000802,0.000802
5,6320.31,1.19289,1.767,1.31601,0.65018,0.29819,0.37235,0.25307,1.11455,2.07998,1.36727,0.000736,0.000736,0.000736
6,7558.97,1.1628,1.77362,1.2969,0.58546,0.349,0.41107,0.26687,1.24101,2.29249,1.57265,0.00067,0.00067,0.00067
7,8789.16,1.12767,1.61936,1.2527,0.55519,0.54845,0.54613,0.33979,1.14184,1.77264,1.36212,0.000604,0.000604,0.000604
8,10021.7,1.08166,1.44885,1.20421,0.77953,0.49964,0.55854,0.39893,1.03586,1.56233,1.28908,0.000538,0.000538,0.000538
9,11254.4,1.02335,1.35177,1.18569,0.752,0.48444,0.55127,0.40237,1.0425,1.64975,1.26856,0.000472,0.000472,0.000472
10,12485.3,1.00251,1.25844,1.15077,0.65082,0.55268,0.572,0.42349,1.01298,1.58798,1.27104,0.000406,0.000406,0.000406
11,13702.5,0.9793,1.18501,1.15834,0.72918,0.56397,0.64402,0.4561,0.9415,1.34408,1.22344,0.00034,0.00034,0.00034
12,14896.7,0.93261,1.09127,1.12335,0.78862,0.59604,0.66346,0.50954,0.90415,1.20818,1.18497,0.000274,0.000274,0.000274
13,16107.3,0.90321,1.01858,1.10091,0.79285,0.58899,0.65399,0.50073,0.87439,1.17767,1.15734,0.000208,0.000208,0.000208
14,19935.4,0.87919,0.96049,1.08476,0.77833,0.60656,0.68137,0.50867,0.87498,1.2287,1.14357,0.000142,0.000142,0.000142
15,20829.6,0.84029,0.90276,1.06509,0.69803,0.62094,0.66682,0.51273,0.84019,1.16584,1.12553,7.6e-05,7.6e-05,7.6e-05
