epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3058,1.02038,2.6603,1.34007,0.66523,0.4495,0.45584,0.32958,0.95136,1.68222,1.34013,0.000301106,0.000301106,0.000301106
2,130.26,1.00879,1.92494,1.31106,0.62514,0.48224,0.47186,0.28929,1.22477,2.10477,1.56385,0.000592145,0.000592145,0.000592145
3,192.565,1.047,1.82389,1.34628,0.65508,0.43483,0.46553,0.32607,1.03594,1.61397,1.47186,0.000871185,0.000871185,0.000871185
4,254.701,1.03774,1.66809,1.31555,0.77699,0.50429,0.57211,0.4127,0.96442,1.34344,1.36506,0.000855005,0.000855005,0.000855005
5,317.346,1.01672,1.56039,1.30627,0.81112,0.55297,0.62468,0.47545,0.88931,1.18396,1.32371,0.000837007,0.000837007,0.000837007
6,382.257,0.98961,1.46792,1.28676,0.73457,0.5785,0.63039,0.45022,0.95979,1.2796,1.39684,0.000819009,0.000819009,0.000819009
7,443.278,0.96186,1.36677,1.26689,0.79694,0.54999,0.62268,0.49128,0.84731,1.11182,1.29712,0.000801011,0.000801011,0.000801011
8,505.42,0.94125,1.30411,1.23898,0.81841,0.59046,0.66607,0.53067,0.83252,0.99995,1.23641,0.000783013,0.000783013,0.000783013
9,567.38,0.92316,1.25516,1.24469,0.82283,0.55991,0.65415,0.52839,0.83246,1.05293,1.24867,0.000765014,0.000765014,0.000765014
10,631.564,0.90448,1.24267,1.22882,0.85427,0.55721,0.69444,0.55478,0.82758,1.00673,1.23443,0.000747016,0.000747016,0.000747016
11,696.222,0.89449,1.20288,1.21522,0.8457,0.59166,0.69413,0.54963,0.80487,0.95726,1.22864,0.000729018,0.000729018,0.000729018
12,761.326,0.87295,1.17486,1.20254,0.8557,0.61706,0.70168,0.56409,0.80307,0.92583,1.22869,0.00071102,0.00071102,0.00071102
13,825.364,0.86834,1.11179,1.19709,0.86713,0.59987,0.70659,0.5629,0.80456,0.9137,1.23284,0.000693022,0.000693022,0.000693022
14,888.625,0.84628,1.09457,1.17726,0.83726,0.64661,0.72693,0.58057,0.80242,0.88068,1.24925,0.000675023,0.000675023,0.000675023
